sex,age,excess_mortality,disability_rate
female,91,0.00010,0.00030
female,92,0.00010,0.00030
female,93,0.00010,0.00030
female,94,0.00010,0.00030
female,95,0.00010,0.00030
female,96,0.00010,0.00030
female,97,0.00010,0.00030
female,98,0.00010,0.00030
female,99,0.00010,0.00030
female,100,0.00010,0.00030
female,101,0.00010,0.00030
female,102,0.00010,0.00030
female,103,0.00010,0.00030
female,104,0.00010,0.00030
female,105,0.00010,0.00030
female,106,0.00010,0.00030
female,107,0.00010,0.00030
female,108,0.00010,0.00030
female,109,0.00010,0.00030
female,110,0.00010,0.00030
